"action","old_path","new_path","sha256","bytes","reason"
"moved","trixig redesign/trixig_print/cast.blend","cad/print/trixig_redesign/backups/cast.blend","641f126e570d804a62d1c14fb5492e589cf4fed6ccba89fb557798bc9118ae4c","70909733","move_print_blender_backup"
"moved","trixig redesign/trixig_print/cast.blend1","cad/print/trixig_redesign/backups/cast.blend1","26b8db71894562a379ebca7f10ed59ba1d36a9eb9d9903735669ef710b8d3ca1","70909586","move_print_blender_backup"
"moved","trixig redesign/trixig_print/cap_slim.stl","cad/print/trixig_redesign/cap_slim.stl","bae1a7ff0802e8acd022005f0f62f6dbe9bf82d95ccb1e429d96cf3c7a9ea352","422884","move_print_asset"
"moved","trixig redesign/trixig_print/cast.blend11","cad/print/trixig_redesign/backups/cast.blend11","1ba785e246d9bc524b695f2ce069a963a212bcd79383c7cc62c688a1e519dbd0","90583040","move_print_blender_backup"
"deleted_exact_duplicate","trixig redesign/stick+figure+3d+model.usdz","cad/models/stick_figure_3d_model.usdz","aeeaa09a061e4ddd206077cb6428a5dbe2805449567c0436b75634feb35d300d","1479405","exact_duplicate_of:cad/models/stick_figure_3d_model.usdz"
"moved","trixig redesign/trixig_print/cast_v2.blend","cad/print/trixig_redesign/backups/cast_v2.blend","cea51d53d8d5625ba88d378df05f0832c17b688f55406f4a125d2fbcf206aea4","61891841","move_print_blender_backup"
"ignored_large_100mb_plus","trixig redesign/trixig_print/cast_v3.blend",".local_large_files/cad/print/trixig_redesign/backups/cast_v3.blend","79BBF5C74B606FB645DD773E57F8268F2FF97A26C43ACE00549BA0C6F5716F5F","104671738","user_requested_ignore_100000000_byte_plus_after_lfs_budget_failure"
"moved","trixig redesign/trixig_print/knob_oval.stl","cad/print/trixig_redesign/knob_oval.stl","68a0386bffac3ef42441c79f4cf7a53b929abf242617e6185cdf3e494e01709f","229384","move_print_asset"
"deleted_exact_duplicate","trixig redesign/cordless+drill+3d+model.3mf","cad/models/cordless_drill_3d_model.3mf","bc3af00c76c04eec9e8e1a6e6d39ba4734c6c1de0750b2308e98282ea2b2535c","23477390","exact_duplicate_of:cad/models/cordless_drill_3d_model.3mf"
"ignored_large_100mb_plus","trixig redesign/trixig_print/cast_v3.blend1",".local_large_files/cad/print/trixig_redesign/backups/cast_v3.blend1","63735D2D19F6A9C22F1DEE92C54C8CEDB81E6BE05810CDD6C76CA00E1F5FBB32","104667128","user_requested_ignore_100000000_byte_plus_after_lfs_budget_failure"
"moved","trixig redesign/trixig_print/for_bambu/2.3mf","cad/print/trixig_redesign/for_bambu/2.3mf","7eef1860a26f45beffcd3a778296b488cf87ee8aef3c70806ed99f11518bed2c","852254","move_print_asset"
"moved","trixig redesign/trixig_print/for_bambu/c2.3mf","cad/print/trixig_redesign/for_bambu/c2.3mf","a702bc976cb69d42b884afc79512190bf9a18be4563477cee5e46e29b4394341","5236727","move_print_asset"
"moved","trixig redesign/trixig_print/part_small_a.stl","cad/print/trixig_redesign/part_small_a.stl","6f04ce733dfc4b2f46ae7620f20b541b41118e775414ba450b8af8d58f51873c","182784","move_print_asset"
"moved","trixig redesign/trixig_print/housing_outer.stl","cad/print/trixig_redesign/housing_outer.stl","3b79f24ef905078a778268e536c2e5c00553797d047ce0c9c9d3553c484083bf","3067184","move_print_asset"
"moved","trixig redesign/plasticity/pen_prev1.plasticity","cad/plasticity/pen_prev1.plasticity","33dff0fba24e8d4aae50d82fd5eca7c2101d2b905ee9367ca7fbef37df25efce","1119535","move_plasticity"
"moved","trixig redesign/trixig_print/cast_for_bambu.stl","cad/print/trixig_redesign/cast_for_bambu.stl","b4d249c1b40387701552574c1eaecfdfd2306c176d301f44d100af157014827b","1866184","move_print_asset"
"moved","trixig redesign/trixig_print/test_cube_45mm.stl","cad/print/trixig_redesign/test_cube_45mm.stl","8644fbdd0ac677f9cd6119c92ee2e544bdfb27b8d96f7c8f40075132847bc8f5","684","move_print_asset"
"moved","trixig redesign/trixig_print/trixig_orginal.3mf","cad/print/trixig_redesign/trixig_orginal.3mf","92ac510fb3472d7b65436cd1b12cf613c6164b34ce120c01faeac41739df6e89","328821","move_print_asset"
"moved","trixig redesign/trixig_print/trixig_buildplate.3mf","cad/print/trixig_redesign/trixig_buildplate.3mf","8ef8e2a42676b0a376942b426bea913d12d6d6bbffc1b01346b61b876c25c194","782","move_print_asset"
"moved","trixig redesign/trixig_print/trixig_buildplate.stl","cad/print/trixig_redesign/trixig_buildplate.stl","8663753784783bacf57e1739a000de8a92b232e5782f27d91286eb364b34e4b9","2334984","move_print_asset"
"moved","trixig redesign/trixig_print/housing_inner_half.stl","cad/print/trixig_redesign/housing_inner_half.stl","e900701a931064a44346fc59bd2f56b3d37db8f6625cec7fc5edb16eaf23f269","291084","move_print_asset"
"deleted_exact_duplicate","trixig redesign/c0850fe44815dee7c74b3797bde9dd52.3mf","cad/models/c0850fe44815dee7c74b3797bde9dd52.3mf","a9d903d114a811dfe8ae141d321c50c3ab720ce6f20af3022ac7313ea8eebc97","19866147","exact_duplicate_of:cad/models/c0850fe44815dee7c74b3797bde9dd52.3mf"
"moved","trixig redesign/plasticity/REDESIGN_prev1.plasticity","cad/plasticity/redesign_prev1.plasticity","e09d7eddc6e35c15eab2d4e3460a1b4065fecf82f6c63a4a26be696af7593915","3052974","move_plasticity"
"moved","trixig redesign/trixig_print/_cap_slim_DUPLICATE.stl","cad/print/trixig_redesign/cap_slim_duplicate.stl","bd3d0eac23bec472866fbd1f5e2708615ce225b7cf3f1807fa9665f98080e330","422884","move_print_asset"
"moved","trixig redesign/trixig_print/for_bambu/pcba_board.stl","cad/print/trixig_redesign/for_bambu/pcba_board.stl","09a5ba6657887689d2cbf49a3db78d410f53079dfe643309c55d6afd27d5b3eb","29684","move_print_asset"
"moved","trixig redesign/trixig_print/for_bambu/rear_end_cap.stl","cad/print/trixig_redesign/for_bambu/rear_end_cap.stl","fcaa1e7aed4e7b06c4d4a7328f4da4cc49c98bbb2b9e55ed3e29f73e1eeb0e64","24684","move_print_asset"
"deleted_exact_duplicate","trixig redesign/6ADCCAAA-B24A-4550-817C-1C0F08CF3A78.jpg","assets/reference/inspiration/reference_002.jpg","fbf103937a78c94a2da60d8cffdd832f94934ea03814413dff3e1ee28a19720a","108990","exact_duplicate_of:assets/reference/inspiration/reference_002.jpg"
"deleted_exact_duplicate","trixig redesign/8cd2f288-576c-408f-8cfd-90befa7fbe4d.png","assets/reference/inspiration/reference_003.png","6d07bf26dad03ece06c17538a89be8b900455d0676bbc35ee62a10b71dc036a1","1155509","exact_duplicate_of:assets/reference/inspiration/reference_003.png"
"moved","trixig redesign/trixig_print/for_bambu/front_end_cap.stl","cad/print/trixig_redesign/for_bambu/front_end_cap.stl","4284ab18453f7f2b503b1719f66d615ffd442ca14771828aea3384d2967bdf57","76284","move_print_asset"
"moved","trixig redesign/trixig_print/for_bambu/internal_wire.stl","cad/print/trixig_redesign/for_bambu/internal_wire.stl","da6202835bd7ffba6ab31a57cb4440c505a4b871666934ab2290b305cef3706f","7184","move_print_asset"
