"status","duplicate_relative_path","kept_unique_id","kept_new_relative_path","sha256"
"deleted_exact_duplicate","ChatGPT Image May 26, 2026, 03_54_38 AM.png","U019","02_mechanics_cutaways/trixig_260526_u019_white-side-motorhandle.png","d3fc643b5548361a4f4ee2d3c1dd8a5e5d98c1e30b2697a0d4c054c43f396c8b"
"deleted_exact_duplicate","ChatGPT Image May 26, 2026, 03_54_39 AM (1).png","U022","02_mechanics_cutaways/trixig_260526_u022_front-pack-view.png","733861cc0caef82a0f1c11ab7615266a053619bde0311e9a01c3f17e69e524c7"
"deleted_exact_duplicate","ChatGPT Image May 26, 2026, 03_54_42 AM (1).png","U031","02_mechanics_cutaways/trixig_260526_u031_white-side-pack-c.png","ef8624e394cadac77a058f14bda753e65f506bd864fad361d619b8e9780a4208"
"deleted_exact_duplicate","ChatGPT Image May 26, 2026, 04_11_49 AM (1).png","U032","03_process_boards/trixig_260526_u032_wireframe-overview.png","e233ed7364f5182194f333f2d986f175526c566de22962faececfae2749958c3"
"deleted_exact_duplicate","ChatGPT Image May 26, 2026, 04_11_49 AM (2).png","U033","03_process_boards/trixig_260526_u033_assembly-flow-board.png","13afea81ce4b8a2f24ca2634770ec5584ec416f00224114df923f51929bbc88d"
"deleted_exact_duplicate","ChatGPT Image May 26, 2026, 04_11_49 AM (3).png","U034","03_process_boards/trixig_260526_u034_component-layouts.png","65b148606f387c362d57f313e53e42f119b0132c3b710f6ae9d0fdf868c36d96"
"deleted_exact_duplicate","ChatGPT Image May 26, 2026, 04_11_49 AM (4).png","U035","03_process_boards/trixig_260526_u035_variant-panels.png","c6260ba679261882e8f2592d3a0783656e86b3fcdaa2dcdf38288bc6951b5306"
"deleted_exact_duplicate","ChatGPT Image May 26, 2026, 04_11_49 AM (5).png","U036","03_process_boards/trixig_260526_u036_sequence-variants.png","5905e515ba7792c8fea5ac79a2a1a809a4c3ad34ec2eb1e3c4c03416f1666c05"
"deleted_exact_duplicate","ChatGPT Image May 26, 2026, 04_11_49 AM (6).png","U037","03_process_boards/trixig_260526_u037_black-render-matrix.png","450c7f40fe3cf9791d9917d5e025cd90683cd9ae987964a92f8abb9c805c8eee"
"deleted_exact_duplicate","ChatGPT Image May 26, 2026, 04_11_49 AM (7).png","U038","03_process_boards/trixig_260526_u038_feature-matrix.png","d1d89e85446d0a7b9f1e578b79e28c755c23bb4588aee12a849ac29d3db972a6"
"deleted_exact_duplicate","ChatGPT Image May 26, 2026, 04_11_49 AM (8).png","U039","03_process_boards/trixig_260526_u039_cutaway-hero-board.png","dd1e712f05f66156419479398e9dfc07c04896ca1fa454111de848c4c49945f8"
"deleted_exact_duplicate","ChatGPT Image May 26, 2026, 04_11_49 AM (9).png","U040","03_process_boards/trixig_260526_u040_form-options.png","b7d1f51d866e24ac9903be334afea0f545b83336b4dcb770e97594b6de208eed"
"deleted_exact_duplicate","ChatGPT Image May 26, 2026, 04_11_49 AM (10).png","U041","03_process_boards/trixig_260526_u041_control-zones.png","fa12801b1a9b226cd83cddf1cf2400538e9e44699ec1c275f5e4859df4ce78df"
