"unique_id","old_relative_path","new_relative_path","folder","slug","sha256"
"U026","ChatGPT Image May 26, 2026, 03_54_40 AM (1).png","02_mechanics_cutaways/trixig_260526_u026_white-side-pack-b.png","02_mechanics_cutaways","white-side-pack-b","9cc3d14dbbe036a8cb7656c00b62ea444970e5a69f8fc58c0d1155cfe2efbc74"
"U027","ChatGPT Image May 26, 2026, 03_54_40 AM (2).png","02_mechanics_cutaways/trixig_260526_u027_white-side-battery.png","02_mechanics_cutaways","white-side-battery","1be9ab9f847f5d9706b1ec59eb95e2c026da02880666eee85aa3762495ba09f3"
"U028","ChatGPT Image May 26, 2026, 03_54_40 AM (3).png","02_mechanics_cutaways/trixig_260526_u028_translucent-handle-motor.png","02_mechanics_cutaways","translucent-handle-motor","7e65dad4a84783275168377f34a9316fa55a034968dce12374540b304b40a515"
"U029","ChatGPT Image May 26, 2026, 03_54_41 AM.png","02_mechanics_cutaways/trixig_260526_u029_white-side-flat.png","02_mechanics_cutaways","white-side-flat","ca0cd9020e3aece7b534146312665a063f701bdf384932fafc1f2820eca2b103"
"U030","ChatGPT Image May 26, 2026, 03_54_42 AM.png","02_mechanics_cutaways/trixig_260526_u030_translucent-side-grey.png","02_mechanics_cutaways","translucent-side-grey","444ee4f46860ac1b76c62f4bfd583a1de63d6e3f7a0299ce8f6165891651fdcf"
"U031","ChatGPT Image May 26, 2026, 03_54_43 AM.png","02_mechanics_cutaways/trixig_260526_u031_white-side-pack-c.png","02_mechanics_cutaways","white-side-pack-c","ef8624e394cadac77a058f14bda753e65f506bd864fad361d619b8e9780a4208"
"U032","ChatGPT Image May 26, 2026, 04_07_55 AM (1).png","03_process_boards/trixig_260526_u032_wireframe-overview.png","03_process_boards","wireframe-overview","e233ed7364f5182194f333f2d986f175526c566de22962faececfae2749958c3"
"U033","ChatGPT Image May 26, 2026, 04_07_55 AM (2).png","03_process_boards/trixig_260526_u033_assembly-flow-board.png","03_process_boards","assembly-flow-board","13afea81ce4b8a2f24ca2634770ec5584ec416f00224114df923f51929bbc88d"
"U034","ChatGPT Image May 26, 2026, 04_07_55 AM (3).png","03_process_boards/trixig_260526_u034_component-layouts.png","03_process_boards","component-layouts","65b148606f387c362d57f313e53e42f119b0132c3b710f6ae9d0fdf868c36d96"
"U035","ChatGPT Image May 26, 2026, 04_07_55 AM (4).png","03_process_boards/trixig_260526_u035_variant-panels.png","03_process_boards","variant-panels","c6260ba679261882e8f2592d3a0783656e86b3fcdaa2dcdf38288bc6951b5306"
"U036","ChatGPT Image May 26, 2026, 04_07_55 AM (5).png","03_process_boards/trixig_260526_u036_sequence-variants.png","03_process_boards","sequence-variants","5905e515ba7792c8fea5ac79a2a1a809a4c3ad34ec2eb1e3c4c03416f1666c05"
"U037","ChatGPT Image May 26, 2026, 04_07_55 AM (6).png","03_process_boards/trixig_260526_u037_black-render-matrix.png","03_process_boards","black-render-matrix","450c7f40fe3cf9791d9917d5e025cd90683cd9ae987964a92f8abb9c805c8eee"
"U038","ChatGPT Image May 26, 2026, 04_07_56 AM (7).png","03_process_boards/trixig_260526_u038_feature-matrix.png","03_process_boards","feature-matrix","d1d89e85446d0a7b9f1e578b79e28c755c23bb4588aee12a849ac29d3db972a6"
